Unnamed: 0;LVL;Kanji;Lecture ON;Lecture KUN;Signification
0;Niveau;Kanji;Lecture ON;Lecture KUN;Signification
1;N5;一;イチ, イツ;ひと, ひと.つ;un
2;N5;七;シチ;なな, なな.つ, なの;sept
3;N5;万;マン, バン;よろず;dix-mille
4;N5;三;サン, ゾウ;み, み.つ, みっ.つ;trois
5;N5;上;"ジョウ, ショウ, シャ
ン";うえ,  あ.げる, のぼ.る;au-dessus, haut, monter, donner
6;N5;下;カ, ゲ;した,  さ.げる, くだ.る;"au-dessous, descendre, bas, donner,
inférieur"
7;N4;不;フ, ブ;-;préfixe de négation, non
8;N3;与;ヨ;"あた.える, あずか.る,
くみ.する, ともに";donner, décerner, offrir, conférer, don
9;N4;世;セイ, セ;よ, さんじゅう;monde, époque, génération
10;N3;両;リョウ;てる, ふたつ;deux, les deux, paire, compteur des wagons
11;N2;並;ヘイ;"な.み, なら.べる, なら.
ぶ";"alignée, rangée, mettre en rang, faire la
queue"
12;N5;中;チュウ;なか, うち, あた.る;"dans, dedans, à l'intérieur, milieu, centre,
moyenne"
13;N2;丸;ガン;まる.い;rond, circulaire
14;N4;主;シュ, ス;ぬし, おも;seigneur, maître, mari
15;N2;久;キュウ, ク;ひさ.しい;ancien, qui dure, depuis longtemps
16;N4;乗;ジョウ;の.る;monter (dans un véhicule), embarquer
17;N5;九;キュウ, ク;ここの, ここの.つ;neuf
18;N2;乱;ラン, ロン;"みだ.る, おさ.める, わ
た.る";"rébellion, émeute, mettre en désordre,
confusion"
19;N2;乳;ニュウ;ちち, ち;sein, lait maternel
20;N2;乾;カン, ケン;かわ.く, ほ.す, ひ.る;vider (un verre), sécher, sécheresse
21;N2;了;リョウ;-;achevé, fini
22;N3;予;ヨ;あらかじ.め;auparavant, au préalable
23;N3;争;ソウ;あらそ.う;se quereller, se disputer, se battre
24;N4;事;ジ;こと;fait, chose abstraite, affaire
25;N5;二;ニ, ジ;"ふた, ふた.つ, ふたた.
び";deux
26;N3;互;ゴ;たが.い, かたみ.に;mutuel, réciproque
27;N5;五;ゴ;いつ, いつ.つ;cinq
28;N3;亡;ボウ, モウ;な.い, ほろ.びる;décédé, mort, mourir
29;N3;交;コウ;まじ.る;intersection, se mélanger
30;N4;京;キョウ, ケイ, キン;みやこ;capitale, 10^16
32;N5;人;ジン, ニン;ひと;être humain, personne
33;N5;今;コン;いま;maintenant
34;N2;介;カイ;-;intermédiaire, intervention, coquillage
35;N2;仏;ブツ, フツ;ほとけ;Bouddha, France, français
36;N4;仕;シ;つか.える;servir, faire
37;N3;他;タ;ほか;autre
38;N3;付;フ;つ.ける;coller, attacher, fixer
39;N4;代;ダイ, タイ;かわ.り;génération, période, substitution, prix
40;N2;令;レイ;-;ordre, commandement, décret
41;N4;以;イ;もっ.て;par le moyen de, en vue de, comparé à
42;N2;仮;カ, ケ;かり;temporaire, provisoire, nom d'emprunt
43;N2;仲;チュウ;なか;rapport, relation, médiation
44;N3;件;ケン;くだん;affaire, cas, article
45;N3;任;ニン;まか.せる, まか.す;responsabilité, confier à
46;N5;休;キュウ;やす.む, やす.める;se reposer, repos
47;N5;会;カイ;あ.う;réunion, rencontre, parti
48;N3;伝;デン, テン;つた.わる, つた.える;"transmettre, communiquer, légende,
tradition"
49;N2;伸;シン;の.びる;élargir, étendre, étirer, allonger
50;N2;伺;シ;うかが.う;"demander, questionner, visiter (hon),
présenter ses respects"
51;N3;似;ジ;に.る;ressembler à, imiter
52;N3;位;イ;くらい, ぐらい;rang, position, à peu près
53;N4;低;テイ;ひく.い, ひく.める;bas, abaisser
54;N4;住;ヂュウ;す.む;résider, habiter
55;N4;体;タイ;からだ;corps
56;N5;何;カ;なに, なん;quoi, que
57;N3;余;ヨ;あま.る, あま.り;dépasser, surplus
58;N4;作;サク, サ;つく.る;fabriquer, produire, réaliser
59;N4;使;シ;つか.う;utiliser
60;N3;例;レイ;たと.える;exemple, précédent
61;N3;供;キョウ, ク, クウ;そな.える, とも;accompagner, offrir, suffixe du pluriel
62;N2;依;イ, エ;よ.る;dépendant, dû à
63;N2;価;カ, ケ;あたい;prix, valeur
64;N4;便;ベン, ビン;たよ.り;commodité, lettre, courrier
66;N3;係;ケイ;かか.る;service, en charge de, devoir
67;N2;保;ホ, ホウ;たも.つ;préserver, maintenir, garantir
68;N3;信;シン;-;croyance, confiance en soi, croire
69;N2;修;シュウ, シュ;おさ.める;bien se conduire, discipline, maîtrise
70;N2;個;コ, カ;-;individuel, privé, compteur d'articles ou d'unités militaires
71;N2;倍;バイ;-;double, deux fois
72;N3;倒;トウ;たお.れる, たお.す;se renverser, s'écrouler, s'effondrer
73;N3;候;コウ;そうろう;temps (météorologique), climat
74;N4;借;シャク;か.りる;emprunter, louer
75;N3;値;チ;ね, あたい;prix, coût, valeur
76;N3;偉;イ;えら.い;remarquable, grandiose, célèbre
77;N2;停;テイ;と.める, と.まる;arrêt, s'arrêter
78;N2;健;ケン;すこ.やか;pleine forme, bien portant, sain
79;N3;側;ソク;かわ, そば;côté, flanc
80;N3;偶;グウ;たま;par hasard, nombre pair, couple
81;N3;備;ビ;そな.える;préparation, être équipé de, approvisionné
82;N2;傾;ケイ;"かたむ.く, かたぶ.く,
かた.げる";pencher, incliner, basculer, sombrer
83;N4;働;"ドウ, リュク, リキ,
ロク";はたら.く;travailler
84;N2;像;ゾウ;-;portrait, figure, représentation
85;N2;億;オク;-;cent million, 10^8
86;N3;優;ユウ, ウ;"やさ.しい, すぐ.れる,
まさ.る";gentillesse, tendresse, surpasser, acteur
87;N4;元;ゲン, ガン;もと;origine, commencement
88;N4;兄;ケイ, キョウ;あに;frère ainé, grand-frère
89;N2;兆;チョウ;きざ.す, きざ.し;signe, présage, donner signe, 10^12
90;N5;先;セン;さき, ま.ず;avant, devant, précédent
91;N4;光;コウ;ひか.る, ひかり;lumière, éclat, étinceler, briller
92;N2;児;ジ, ニ;こ;nouveau-né, enfant
93;N2;党;トウ;なかま, むら;parti politique, faction
94;N5;入;ニュウ, ジュ;い.る, い.れる, はい.る;entrer, insérer
95;N3;全;ゼン;すべ.て;totalité, tout, en entier
96;N5;八;ハチ;や, や.つ, やっ.つ, よう;huit
97;N2;公;コウ, ク;おおやけ;public, officiel
99;N5;六;ロク, リク;む;six
100;N3;共;キョウ;とも;marque du pluriel, ensemble, les deux
101;N2;兵;ヘイ, ヒョウ;つわもの;soldat, guerrier, troupes
102;N3;具;グ;そな.える, つぶさ.に;ustensile, outil, meuble
103;N3;内;ナイ, ダイ;うち;intérieur, dedans, maison
104;N5;円;エン;まる.い;cercle, yen, rond
105;N2;冊;サツ, サク;ふみ;tome, volume, compteur pour les livres
106;N2;再;サイ, サ;ふたた.び;pour la seconde fois, de nouveau
107;N4;写;シャ;うつ.す;copier, reproduire
108;N4;冬;トウ;ふゆ;hiver
